대분류,신용체크구분,개인법인구분,중분류,소분류,롯데카드,비씨카드,비씨카드 기타,삼성카드,신한카드,우리카드,하나카드,현대카드,KB국민카드,NH농협카드,합계,기준년월
금융자산,,,(결제성)리볼빙이월잔액,(결제성)리볼빙이월잔액,965767,2779,0,1220056,1476225,442339,434958,1291912,1379241,89550,7302827,202211
국내이용금액,신용카드,개인,일시불,일반,12914432,3755485,12250870,21692664,24737482,9730223,9227884,25556115,20475554,10391395,138481234,202403
국내이용금액,신용카드,개인,일시불,국세/지방세등,559970,47568,187739,1057061,3334389,161937,109652,353359,927858,116453,6668247,202403
국내이용금액,신용카드,개인,할부,일반,3817680,910141,2724987,7383140,6053298,2464774,1895116,5740609,5194497,2497395,35956650,202403
국내이용금액,신용카드,개인,할부,국세/지방세등,195307,92545,329738,514043,429546,282431,165007,365004,306760,254589,2605232,202403
국내이용금액,신용카드,개인,현금서비스,현금서비스,1508181,272488,1677381,1816123,3219526,1323410,686123,1554824,2520212,1004279,13905166,202403
국내이용금액,신용카드,개인,카드론,카드론,1494458,15826,0,2413313,2082868,607650,502086,1601587,1674845,706530,11099163,202403
국내이용금액,신용카드,법인,일시불,일반,1685026,5388639,4061949,2761049,3371816,2888413,3189548,2058350,3853967,3009229,28206037,202403
국내이용금액,신용카드,법인,일시불,국세/지방세등,328306,403830,1126021,534732,227137,1087268,798010,1444670,427963,132302,5384218,202403
국내이용금액,신용카드,법인,일시불,구매전용,3106662,176489,73754,897476,1560244,11898,20307,3277252,0,46612,9096940,202403
국내이용금액,신용카드,법인,할부,일반,2456,389997,76503,8915,3381,40924,65456,1963,61367,168297,742756,202403
국내이용금액,신용카드,법인,할부,국세/지방세등,71074,376747,18711,0,0,9097,40363,1703,12440,53885,565309,202403
국내이용금액,신용카드,법인,할부,구매전용,0,46,264,0,0,0,0,17210,0,0,17256,202403
국내이용금액,직불/체크카드,개인,일반,일반,260032,4234274,5304165,203431,5824230,4040022,3102681,255139,7369538,12087245,37376592,202403
국내이용금액,직불/체크카드,개인,국세/지방세등,국세/지방세등,1075,21727,20224,1459,241143,15782,13701,921,85884,56892,438584,202403
국내이용금액,직불/체크카드,법인,일반,일반,239,1121826,1369312,5424,879334,1133391,664691,75497,1379192,1710857,6970451,202403
국내이용금액,직불/체크카드,법인,국세/지방세등,국세/지방세등,0,744402,125212,4,9463,44311,98274,183,30606,42413,969656,202403
국내이용금액,직불/체크카드,법인,구매전용,구매전용,0,0,0,0,140574,0,0,4776,0,0,145350,202403
해외이용금액,신용카드,개인,일시불,일반,254900,97613,264868,598698,593985,257585,297262,790577,550059,151205,3591884,202403
해외이용금액,신용카드,개인,할부,일반,0,0,0,36777,34288,0,0,41361,0,0,112426,202403
해외이용금액,신용카드,개인,현금서비스,현금서비스,1696,1964,3542,4131,6157,3431,3439,4339,7813,2277,35247,202403
해외이용금액,신용카드,법인,일시불,일반,157852,249177,152149,119088,210961,125667,163960,79447,166704,35937,1308793,202403
해외이용금액,신용카드,법인,현금서비스,현금서비스,15,1266,130,69,0,115,55,0,85,87,1692,202403
해외이용금액,직불/체크카드,개인,일반,일반,2788,25510,68766,1431,213340,153948,579003,3200,107108,90830,1177158,202403
해외이용금액,직불/체크카드,법인,일반,일반,0,36778,21029,0,33316,12286,37407,0,31465,9674,160926,202403
회원수,신용카드,개인,전체회원수,합계,9369,5647,9998,12889,14356,7094,6348,12189,12129,8501,-,202403
회원수,신용카드,개인,전체회원수,본인기준회원수,9143,5624,9923,12684,13923,7051,6242,11865,11892,0,-,202403
회원수,신용카드,개인,신규회원수(월중),합계,115,189,62,102,109,46,95,114,142,125,-,202403
회원수,신용카드,개인,신규회원수(월중),본인기준회원수,115,188,62,101,102,45,94,110,139,0,-,202403
회원수,신용카드,개인,해지회원수(월중),해지회원수(월중),86,67,119,90,101,92,61,73,100,103,-,202403
회원수,신용카드,개인,전체이용회원수,합계,7055,2576,6797,10021,10952,5061,4358,9348,9452,0,-,202403
회원수,신용카드,개인,전체이용회원수,신판이용회원수,7048,2568,6774,10011,10928,5059,4347,9329,9409,0,-,202403
회원수,신용카드,개인,사용가능회원수(월말),합계,8523,5284,9612,11514,13013,6062,5404,11035,10943,8311,-,202403
회원수,신용카드,개인,사용가능회원수(월말),본인기준회원수,8342,5263,9541,11342,12669,6025,5306,10749,10731,0,-,202403
회원수,신용카드,법인,신규회원수(월중),신규회원수(월중),0,10,8,0,4,7,5,0,9,4,-,202403
회원수,신용카드,법인,해지회원수(월중),해지회원수(월중),0,12,7,0,4,5,1,0,6,9,-,202403
회원수,신용카드,법인,사용가능회원수(월말),사용가능회원수(월말),37,704,554,35,160,286,237,35,466,785,-,202403
회원수,직불/체크카드,개인,사용가능카드수,사용가능카드수,392,9737,12199,436,19689,8694,11151,452,15538,0,-,202403
회원수,직불/체크카드,개인,사용불가카드수,사용불가카드수,29,972,1436,38,570,1159,611,31,899,0,-,202403
회원수,직불/체크카드,개인,사용가능회원수,사용가능회원수,379,8239,10236,408,14022,7011,8540,431,13147,0,-,202403
회원수,직불/체크카드,개인,사용불가회원수,사용불가회원수,26,737,729,30,321,477,304,24,313,0,-,202403
회원수,직불/체크카드,개인,순수보유회원수(월말),순수보유회원수(월말),267,7523,8074,228,7633,4782,6420,335,7881,0,-,202403
회원수,직불/체크카드,법인,사용가능카드수,사용가능카드수,2,861,477,3,335,301,256,30,644,0,-,202403
회원수,직불/체크카드,법인,사용불가카드수,사용불가카드수,0,71,42,0,63,10,14,6,127,0,-,202403
회원수,직불/체크카드,법인,사용가능회원수,사용가능회원수,2,1236,739,1,141,113,113,11,394,0,-,202403
